Bollwerk Graz; dance-club/partystadl ;47.0341535;15.4141751;0;0;0;0; 21:00 ; 06:00 ;0;0; 21:00 ; 06:00 ; 21:00 ; 06:00 ;0;0
Scheinbar ; Club Lounge ;47.074747;15.451096;0;0;0;0; 21:00 ; 05:00 ; 21:00 ; 05:00 ; 21:00 ; 05:00 ; 21:00 ; 24:00 ;0;0
Kulturhauskeller Graz ; disco ;47.074617;15.451108;0;0; 21:00 ; 05:00 ; 21:00 ; 05:00 ; 21:00 ; 05:00 ; 21:00 ; 05:00 ; 21:00 ; 05:00 ; 21:00 ; 05:00
Revolution ; disco ;47.075320;15.450986; 20:00 ; 05:00 ; 20:00 ; 05:00 ; 20:00 ; 05:00 ; 20:00 ; 06:00 ; 20:00 ; 06:00 ; 20:00 ; 06:00 ;0;0
Three Monkeys ; disco/bar ;47.075334;15.451797; 21:00 ; 06:00 ; 21:00 ; 06:00 ; 21:00 ; 06:00 ; 21:00 ; 06:00 ; 21:00 ; 06:00 ; 21:00 ; 06:00 ; 21:00 ; 06:00
Esquire ; disco ;47.074893;15.451897;0;0;0;0; 22:00 ; 04:00 ; 22:00 ; 04:00 ; 22:00 ; 04:00 ; 22:00 ; 04:00 ;0;0
Merano ; bar/lounge ;47.074893;15.451897;0;0; 20:00 ; 03:00 ; 20:00 ; 03:00 ; 20:00 ; 03:00 ; 20:00 ; 05:00 ; 20:00 ; 24:00 ;0;0
Molly Melone ; irish pub ;47.071704;15.439983; 11:00 ; 02:00 ; 11:00 ; 02:00  ; 11:00 ; 02:00 ; 11:00 ; 02:00 ; 11:00 ; 02:00 ; 11:00 ; 02:00 ; 11:00 ; 02:00 
ROX ; music bar ;47.067377;15.440892;0;0; 17:00 ; 04:00 ; 17:00 ; 04:00 ; 17:00 ; 04:00 ; 17:00 ; 04:00 ; 17:00 ; 04:00 ;0;0
Tam Tam ; disco ;47.066137;15.439515;0;0;0;0; 21:00 ; 06:00 ; 21:00 ; 06:00 ; 21:00 ; 06:00 ; 21:00 ; 06:00 ;0;0
Area 5 ; bar ;47.067468;15.443866; 08:00 ; 02:00 ; 08:00 ; 02:00 ; 08:00 ; 02:00 ; 08:00 ; 02:00 ; 08:00 ; 02:00 ; 08:00 ; 02:00 ; 08:00 ; 00:00
Mausefalle ; disco ;47.068487;15.444027;0;0;0;0;21; 06:00 ;21; 06:00 ;21; 06:00 ;21; 06:00 ;0;0
