Live Time; bar/pub/Lounge;46.626347;14.305869;0;0;0;0;07:00;0:00;07:00;0:00;08:00;03:00;08:00;03:00;0;0
Fresco; bar/pub/Lounge;46.623775;14.310596;07:00;20:00;07:00;20:00;07:00;20:00;07:00;20:00;07:00;20:00;07:00;20:00;0;0
Dom Cafe Loretto; bar/pub/Lounge/Live-Musik;46.622022;14.309403;07:30;22:00;07:30;22:00;07:30;22:00;07:30;22:00;07:30;22:00;09:00;18:00;0;0;
Frühbar daham; bar/pub/Lounge;46.617211;14.308398;14:00;09:00;14:00;09:00;14:00;09:00;14:00;09:00;14:00;09:00;14:00;09:00;0;0;
GIG BAR; bar/Lounge;46.617758;14.260746;10:00;01:00;10:00;01:00;10:00;01:00;10:00;01:00;10:00;01:00;10:00;01:00;10:00;01:00;
Molly Malone; Irish Pub/bar;46.626363;14.305951;05:00;02:00;05:00;02:00;05:00;02:00;05:00;02:00;05:00;02:00;05:00;02:00;06:00;02:00;
Jazz-Club Kammerlichtspiele; bar/pub/Lounge;46.623375;14.312525;0;0;17:00;01:00;17:00;01:00;17:00;01:00;17:00;01:00;17:00;01:00;0;0;
LA VIE; bar/pub;46.624782;14.308600;07:30;23:00;07:30;23:00;07:30;23:00;07:30;23:00;07:30;23:00;07:30;23:00;0;0;
Checkpoint Charlie; bar/club/disco;46.625443;14.306418;18:00;01:00;18:00;01:00;18:00;01:00;18:00;01:00;19:00;04:00;19:00;04:00;0;0;
Stereo; Club/disco;46.620425;14.307313;0;0;0;0;0;0;20:00;02:00;20:00;02:00;20:00;02:00;0;0;
Bar Italia; bar/pub;46.625403;14.307183;07:00;0:00;07:00;0:00;07:00;0:00;07:00;0:00;07:00;0:00;07:00;0:00;09:00;22:00;
Bond; Lounge/bar/disco;46.625936;14.305926;0;0;0;0;20:00;04:00;20:00;04:00;20:00;04:00;20:00;04:00;0;0;
Bronx; bar/Lounge/disco;46.625605;14.305872;0;0;0;0;21:00;04:00;21:00;04:00;21:00;04:00;21:00;04:00;0;0;
2GETHER; bar/pub/Lounge/Live-Musik;46.622580;14.310635;7:30;21:00;7:30;21:00;7:30;21:00;7:30;21:00;7:30;21:00;09:00;14:00;0;0
Mole's Inn; bar/pub;46.624999;14.310710;0;0;0;0;20:00;02:00;20:00;02:00;20:00;04:00;20:00;04:00;0;0;
